Subject,Movement,Segment,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P2,4,LeftForeArm,12.603038532789801,[ 3.26227498 11.55728712  1.94728283],87.56991738617792,9.357879962159053
P2,4,LeftHand,355.02680490753386,[2.50286486 3.67018769 1.03748709],4.977308075841545,2.230988138884101
P2,4,RightUpperLeg,14.592085847615717,[2.54994364 4.82624318 9.33976157],1172.2465046005605,34.238085586092
P2,4,RightLowerLeg,21.84226696869728,[3.18490568 4.67287246 9.97234639],3185.735216159505,56.44231760088795
P2,4,RightFoot,17.6467176386038,[0.45464826 1.18969567 6.10089997],3789.2039137244997,61.55650992157125
P2,4,LeftUpperLeg,13.795490121427084,[5.06184167 4.37651539 8.55543946],834.8690703909323,28.894100961804163
P2,4,LeftLowerLeg,25.867063777100444,[ 2.68579057  3.93584851 23.09227918],564.5739626415196,23.760765194781072
P2,4,LeftFoot,9.83009647064174,[1.72956765 1.04669379 7.25216143],652.7264242348009,25.548511194095067
P2,5,Pelvis,8.122035766939389,[1.93050254 0.78860668 7.80811502],0.19574972050296868,0.44243612025123885
P2,5,T8,19.56027961995452,[ 3.85376125  8.5378019  17.02545555],31.9606900138777,5.653378637052157
P2,5,Head,10.331744976288588,[5.15228221 5.38336999 5.04287918],20.628200417239547,4.541827871819841
P2,5,RightShoulder,28.838621630349245,[ 8.11569495  9.13459147 24.4912013 ],10.70877944957647,3.2724271496209765
P2,5,RightUpperArm,9.369330994822299,[2.09252625 8.18000463 3.04749633],2.5196810941027192,1.5873503375445255
P2,5,RightForeArm,14.429116933810391,[ 2.92114927 10.49248611  8.21387846],19.687189408461364,4.43702483748529
P2,5,RightHand,6.961199336985812,[1.21167256 6.835808   0.43217036],0.16086074689088933,0.40107449045144883
P2,5,LeftShoulder,11.408421269118817,[3.56481744 8.33234135 5.53449387],6.507986382369654,2.5510755344304594
P2,5,LeftUpperArm,346.6519359866543,[ 1.79511056 12.35061869  4.11746714],14.8364438576061,3.8518104649120652
P2,5,LeftForeArm,7.454119055579533,[3.68304745 5.35476761 1.51951304],8.671370709422222,2.9447191223310623
P2,5,LeftHand,352.98700908349707,[1.06003599 6.76578083 1.09122969],1.4442114049391548,1.2017534709494933
P2,5,RightUpperLeg,10.120175621895022,[3.06795229 5.55463063 7.64465021],2.3832561923297533,1.5437798393325888
P2,5,RightLowerLeg,5.098960190381566,[1.18692419 4.07476826 2.35504918],2.9139833513125053,1.7070393525963323
P2,5,RightFoot,4.628376376139669,[0.18350842 0.56831607 4.58539028],0.31982081861175893,0.5655270273044065
P2,5,LeftUpperLeg,3.52069883474175,[0.96509614 1.29244872 2.79893352],1.7381092940624459,1.3183737307995962
P2,5,LeftLowerLeg,18.256253194085243,[ 0.61216198  1.25865249 18.18672431],11.79750998509757,3.4347503526599383
P2,5,LeftFoot,2.694450442223364,[1.46982594 0.45684479 2.1984861 ],0.019247448623984087,0.13873517442950106
P2,6,Pelvis,7.15052741017301,[0.62038024 0.57139635 7.08787811],0.36105030365929053,0.6008746155890516
P2,6,T8,13.205741787765891,[ 0.99931358  6.06460034 11.54351102],1.365952520574335,1.1687397146389502
P2,6,Head,5.9406044331945065,[2.36185165 4.09873399 2.6269397 ],2.667656400364691,1.633296176559748
P2,6,RightShoulder,28.975469904669403,[ 2.0083516  12.60874673 25.84988802],4.450292821523084,2.1095717151884372
P2,6,RightUpperArm,6.538771797387081,[2.14934687 5.13408361 2.74182126],1.482210029412294,1.2174604837169434
P2,6,RightForeArm,28.094391783036038,[ 3.94151431 27.20561332  6.70599156],20.77716331923064,4.558197376072107
P2,6,RightHand,7.186266013559706,[0.42229265 7.14081788 0.51276385],0.5113350517349742,0.7150769551139053
P2,6,LeftShoulder,10.565707449432983,[4.18884646 7.61775655 5.92160848],17.44794914629897,4.1770742327972785
P2,6,LeftUpperArm,341.90809312284875,[ 2.9287084  17.3065516   4.66236673],4.702952679320541,2.168629216652893
P2,6,LeftForeArm,19.31050616386066,[ 5.05171898 18.5382122   1.09700736],6.186697336970059,2.4873072461941765
P2,6,LeftHand,350.841982089556,[1.00221846 8.63996722 2.26653203],0.6602160270142466,0.8125367850222208
P2,6,RightUpperLeg,7.647761235111572,[3.43725038 5.36729085 3.52093567],1.0826044898112666,1.040482815721272
P2,6,RightLowerLeg,11.416598182690198,[1.03039664 5.19414839 9.59259563],15.778512290844475,3.972217553312567
P2,6,RightFoot,4.317440960298041,[0.33615439 0.55863822 4.24253652],0.676774108420994,0.8226628157519907
P2,6,LeftUpperLeg,5.913035947311874,[0.78433702 1.87953204 5.36369918],10.711679669494327,3.2728702494132467
P2,6,LeftLowerLeg,15.559024577558073,[ 0.95666036  0.41327827 15.41898614],64.37301547760224,8.023279596125406
P2,6,LeftFoot,3.5782192350598505,[1.45212048 0.42951507 3.20506342],0.25710982868862686,0.5070599852962436
P2,7,Pelvis,6.767230934360487,[0.5057562  0.35153429 6.73643828],0.21761477456406764,0.4664919876740303
P2,7,T8,11.71358515992814,[ 1.69476554  5.52010178 10.1194202 ],1.2401386426333743,1.1136151232061167
P2,7,Head,8.762558322537224,[1.13431256 5.53468281 6.48294719],18.705766728072348,4.3250163847172125
P2,7,RightShoulder,26.260691911671238,[ 2.9358267   9.8041525  23.25527311],1.1249463085731952,1.0606348610965015
P2,7,RightUpperArm,8.613290873144454,[2.93582374 7.41781309 2.58404745],1.067681807152,1.0332868948902816
P2,7,RightForeArm,32.89811791903508,[ 6.63025147 31.64389478  7.65804815],4.643479664285047,2.154873468277209
P2,7,RightHand,7.492887347629589,[0.35824908 7.47828765 0.16218963],0.12998033503197598,0.3605278561109751
